cloud,attempt,accepted,reason,iterations,predictor_residual,final_residual,predictor_distance,corrector_distance
rank4_best,26,1,converged,2,4.583720345906211e-05,2.4105172922200798e-09,0.005988482419025262,2.4209872761076193e-05
rank4_best,27,1,converged,2,3.580964493339196e-05,2.2164273069068824e-09,0.007548094371867275,2.861099285709636e-05
rank4_best,28,1,converged,2,9.660225008774906e-05,1.0933908322759313e-08,0.009426091198403637,6.187399255660401e-05
rank4_best,29,1,converged,2,3.99967665482532e-05,3.686725261829094e-09,0.01047115149396843,2.1353065516285523e-05
rank4_best,30,1,converged,2,3.281719450953347e-05,6.334143475097788e-10,0.005891714624396648,2.2318069288431643e-05
rank4_best,31,1,converged,3,0.00017509980457688467,2.49749252584047e-09,0.011828212053530669,0.00011359515524048564
rank4_best,32,1,converged,2,8.291194625126832e-05,5.05143874404146e-09,0.011235825463696574,5.6596983842377485e-05
rank4_best,33,1,converged,2,3.285121572864297e-05,1.5334183686858373e-09,0.005811518764938732,2.143031091119902e-05
rank4_best,34,1,converged,2,9.771419920538837e-05,9.599713009973738e-09,0.011365763642252273,6.212939568095994e-05
rank4_best,35,1,converged,2,0.000136595714316585,1.5598922247440884e-08,0.010525333093775088,0.00010209251529112276
rank4_best,36,1,converged,2,0.00012990034218382117,7.321178226100883e-09,0.009502962294410765,9.230348363339622e-05
rank4_best,37,1,converged,3,0.00011101321749383264,4.28728174629391e-09,0.009150586372572293,7.660589944084101e-05
rank4_best,38,1,converged,3,0.00011955224511170589,5.938146952198075e-10,0.011336277882508539,6.038246775227219e-05
rank4_best,39,1,converged,3,0.0001368519350399776,5.363338644863117e-10,0.011845562188054692,8.428317718373062e-05
rank4_best,40,1,converged,2,6.393407090269958e-05,6.438478178035038e-09,0.011235870947180265,5.22627559225919e-05
rank4_best,41,1,converged,2,5.533886435842411e-05,6.505373938208478e-09,0.010389939941102601,3.431476466751856e-05
rank4_best,42,1,converged,3,0.00013944144791179635,4.948822459680759e-10,0.009390658499615123,0.00010380705251478209
rank4_best,43,1,converged,2,0.0001072573947115108,1.2726504212865884e-08,0.009625547302869632,5.945397366240935e-05
rank4_best,44,1,converged,2,1.7430696620277712e-05,2.1466113659222403e-09,0.0067983496506542175,1.590088263910604e-05
rank4_best,45,1,converged,3,0.00014653039285567556,2.8354553959686733e-10,0.011328566770573478,0.00011052982504833209
rank4_best,46,1,converged,2,3.705056822764208e-05,8.09456928254637e-10,0.006806195143390149,3.1409236461697794e-05
rank4_best,47,1,converged,2,5.8155853832110166e-05,8.42087615130942e-09,0.008055333739801723,3.0041503979200284e-05
rank4_best,48,1,converged,2,8.579883914854143e-05,5.522079216369594e-09,0.00889807153631842,6.738394965516088e-05
rank4_best,49,1,converged,2,5.830905037759647e-05,1.2772578945978935e-08,0.010695628598347986,5.2382821629051614e-05
rank4_best,50,1,converged,5,0.0009373585435492832,1.3463456171547572e-08,0.011815143380994356,0.0006062442142905354
rank4_best,51,1,converged,2,4.189672852537271e-05,3.7153005444003363e-09,0.0061047265669706705,2.5343773743569247e-05
